Timestamp,XT,Weekday,Holiday,XTForecastEstimation
2018-02-26 19:00:00,5461.358366351,1,0,5699.2178103897895
2018-02-26 20:00:00,5459.038711165,1,0,5686.475447378479
2018-02-26 21:00:00,5193.703724438001,1,0,5347.328736022703
2018-02-26 22:00:00,4666.9475469,1,0,4797.380040029847
2018-02-26 23:00:00,4175.545077264001,1,0,4252.812287176494
2018-02-27 00:00:00,3529.2794169100002,2,0,3646.3707978936027
2018-02-27 01:00:00,3013.655113754,2,0,3123.031732469309
2018-02-27 02:00:00,2978.625721603,2,0,3086.09260701721
2018-02-27 03:00:00,2834.2242013709997,2,0,2907.7198352224764
2018-02-27 04:00:00,2746.4302822679997,2,0,2813.767966432706
2018-02-27 05:00:00,2813.2749156319996,2,0,2871.802645306247
2018-02-27 06:00:00,3167.604260401,2,0,3224.880933676689
2018-02-27 07:00:00,3739.664949614,2,0,3902.5063487449606
2018-02-27 08:00:00,4065.3720130679994,2,0,4277.273760374475
2018-02-27 09:00:00,4407.169459578001,2,0,4719.819414861164
2018-02-27 10:00:00,4507.73936884,2,0,4894.904472598204
2018-02-27 11:00:00,4518.0428739849995,2,0,4906.483278700346
2018-02-27 12:00:00,4501.040331003001,2,0,4988.399245117923
2018-02-27 13:00:00,4414.729884965001,2,0,4977.124143606374
2018-02-27 14:00:00,4187.737937419,2,0,4726.785582219786
2018-02-27 15:00:00,4314.465922048,2,0,4895.046207849211
2018-02-27 16:00:00,4252.079155614,2,0,4839.396999930338
2018-02-27 17:00:00,4321.152273353,2,0,4829.709923911366
2018-02-27 18:00:00,4973.07783746,2,0,5483.525275284305
2018-02-27 19:00:00,5421.919045897,2,0,5884.393804759146
2018-02-27 20:00:00,5429.203897758,2,0,5866.665157878197
2018-02-27 21:00:00,5099.311164951,2,0,5483.596042850597
2018-02-27 22:00:00,4571.206278209,2,0,4881.777672801857
2018-02-27 23:00:00,4127.371300572,2,0,4341.045198929172
2018-02-28 00:00:00,3457.7389685260005,3,0,3478.378642643577
2018-02-28 01:00:00,2967.950460311,3,0,2995.5030137515514
2018-02-28 02:00:00,2926.833293835,3,0,2934.142176546467
2018-02-28 03:00:00,2791.6434253049997,3,0,2804.1932012108755
2018-02-28 04:00:00,2678.641989118,3,0,2712.9723923262623
2018-02-28 05:00:00,2741.311103438,3,0,2745.7632476827803
2018-02-28 06:00:00,3102.8615365119995,3,0,3125.8238566255673
2018-02-28 07:00:00,3692.167993991,3,0,3768.429755419509
2018-02-28 08:00:00,4001.1895644140004,3,0,4088.2185149795573
2018-02-28 09:00:00,4314.063680412,3,0,4436.405775715892
2018-02-28 10:00:00,4405.191176355,3,0,4571.028991757967
2018-02-28 11:00:00,4450.612168792,3,0,4664.005811079109
2018-02-28 12:00:00,4427.824366174,3,0,4706.253147365783
2018-02-28 13:00:00,4339.112067752,3,0,4651.428070542638
2018-02-28 14:00:00,4183.014929401,3,0,4478.012097298908
2018-02-28 15:00:00,4340.46567615,3,0,4653.808817871182
2018-02-28 16:00:00,4285.437346466,3,0,4602.750013343419
2018-02-28 17:00:00,4262.823523458,3,0,4412.211979965811
2018-02-28 18:00:00,4901.824201443001,3,0,5039.327159607503
2018-02-28 19:00:00,5471.254020535001,3,0,5576.444499240208
2018-02-28 20:00:00,5503.713368666,3,0,5585.023715377246
2018-02-28 21:00:00,5240.413484547,3,0,5276.278146561163
2018-02-28 22:00:00,4709.052386004,3,0,4704.031449804328
2018-02-28 23:00:00,4230.4079618,3,0,4204.437453457151
2018-03-01 00:00:00,3575.776318625,4,0,3462.081919087007
2018-03-01 01:00:00,3064.964116322,4,0,2959.0758318242583
2018-03-01 02:00:00,3010.26560897,4,0,2923.981578121001
2018-03-01 03:00:00,2864.442605704,4,0,2773.9711456136515
2018-03-01 04:00:00,2768.1972053599998,4,0,2690.981097809717
2018-03-01 05:00:00,2842.0144686959998,4,0,2773.62191861484
2018-03-01 06:00:00,3204.945921296,4,0,3179.4619416094138
2018-03-01 07:00:00,3827.0449908269998,4,0,3804.374723059994
2018-03-01 08:00:00,4232.351395551001,4,0,4152.514609930083
2018-03-01 09:00:00,4647.155844604999,4,0,4472.259399132006
2018-03-01 10:00:00,4777.087633989,4,0,4644.762798224922
2018-03-01 11:00:00,4767.397992976999,4,0,4718.690378686443
2018-03-01 12:00:00,4817.889099501,4,0,4763.250974992697
2018-03-01 13:00:00,4763.632805364,4,0,4725.211007946844
2018-03-01 14:00:00,4502.683635022,4,0,4516.917587457244
2018-03-01 15:00:00,4661.475495425,4,0,4658.436514046585
2018-03-01 16:00:00,4624.912704676,4,0,4580.573712280943
2018-03-01 17:00:00,4645.324956501,4,0,4623.308362860953
2018-03-01 18:00:00,5218.743465191,4,0,5244.274936052756
2018-03-01 19:00:00,5635.299468945,4,0,5713.471306686828
2018-03-01 20:00:00,5602.332753378,4,0,5694.759764514003
2018-03-01 21:00:00,5251.028474905999,4,0,5332.933393453696
2018-03-01 22:00:00,4701.0635138279995,4,0,4816.470137085221
